id,name,value,address,phone,age,gender,status,registrationDate,lastLogin
1,John Doe,john@example.com,123 Main St,555-1234,30,Male,Active,2022-01-01,2023-06-01
2,Jane Smith,jane@example.com,456 Oak Ave,555-5678,28,Female,Inactive,2021-12-15,2023-05-20
3,Bob Johnson,bob@example.com,789 Pine Rd,555-8765,35,Male,Active,2020-11-10,2023-06-10
4,Alice Brown,alice@example.com,321 Maple St,555-4321,32,Female,Active,2022-03-05,2023-06-05
5,Charlie Green,charlie@example.com,654 Cedar Ave,555-2468,27,Male,Inactive,2021-10-20,2023-05-15
6,Emma White,emma@example.com,987 Birch Rd,555-1357,29,Female,Active,2022-02-14,2023-06-02
7,David Black,david@example.com,159 Spruce St,555-9753,31,Male,Active,2021-09-09,2023-06-08
8,Sophia Blue,sophia@example.com,753 Willow Ave,555-8642,26,Female,Inactive,2020-08-08,2023-05-25
9,Liam Red,liam@example.com,852 Elm Rd,555-3579,33,Male,Active,2022-04-12,2023-06-03
10,Olivia Yellow,olivia@example.com,951 Aspen St,555-4682,25,Female,Active,2021-07-07,2023-06-07
